Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
567.32	7.9048	40.179	0.024888	23.452	23.649	57.653	55.137	100.76	940.67	0.17846	88.062	0.56132	0.015699	2.3272	0.42971	46.327	49.724	103.61	52.305	105.02	484.45	11.329	19.284	0.067605
567.95	7.9758	40.111	0.024931	23.512	23.711	57.758	55.121	101.04	937.38	0.18206	87.825	0.56041	0.015555	2.3513	0.42531	46.313	49.705	103.53	52.432	105.73	484.07	11.273	19.315	0.067940
568.57	8.0473	40.043	0.024973	23.572	23.773	57.864	55.105	101.33	934.07	0.18570	87.588	0.55949	0.015412	2.3756	0.42095	46.298	49.686	103.44	52.560	106.44	483.69	11.218	19.346	0.068279
569.19	8.1193	39.974	0.025016	23.631	23.834	57.970	55.090	101.62	930.75	0.18939	87.352	0.55857	0.015268	2.4002	0.41663	46.284	49.666	103.35	52.689	107.17	483.30	11.164	19.377	0.068622
569.82	8.1917	39.905	0.025060	23.691	23.896	58.075	55.075	101.92	927.42	0.19313	87.116	0.55765	0.015125	2.4251	0.41236	46.269	49.646	103.27	52.818	107.91	482.91	11.109	19.409	0.068969
570.44	8.2647	39.836	0.025103	23.751	23.959	58.181	55.060	102.22	924.08	0.19692	86.880	0.55672	0.014982	2.4502	0.40813	46.253	49.626	103.18	52.948	108.66	482.51	11.055	19.440	0.069320
571.06	8.3382	39.766	0.025147	23.811	24.021	58.287	55.046	102.53	920.73	0.20077	86.644	0.55579	0.014838	2.4756	0.40394	46.238	49.606	103.09	53.078	109.42	482.11	11.001	19.472	0.069676
571.69	8.4121	39.696	0.025192	23.871	24.083	58.393	55.032	102.84	917.36	0.20466	86.408	0.55486	0.014695	2.5013	0.39979	46.222	49.585	103.00	53.209	110.19	481.70	10.947	19.504	0.070036
572.31	8.4866	39.625	0.025236	23.932	24.146	58.499	55.018	103.16	913.98	0.20861	86.173	0.55392	0.014552	2.5272	0.39569	46.206	49.564	102.91	53.341	110.97	481.29	10.893	19.536	0.070400
572.93	8.5616	39.554	0.025282	23.992	24.209	58.605	55.005	103.48	910.59	0.21261	85.938	0.55298	0.014410	2.5535	0.39162	46.190	49.543	102.82	53.473	111.77	480.88	10.840	19.568	0.070770
573.56	8.6370	39.483	0.025327	24.053	24.272	58.712	54.992	103.81	907.19	0.21667	85.703	0.55203	0.014267	2.5800	0.38760	46.174	49.521	102.74	53.605	112.58	480.45	10.787	19.601	0.071143
574.18	8.7130	39.412	0.025373	24.114	24.335	58.818	54.980	104.14	903.77	0.22079	85.468	0.55108	0.014124	2.6068	0.38361	46.157	49.499	102.65	53.739	113.40	480.03	10.734	19.634	0.071522
574.80	8.7895	39.340	0.025420	24.174	24.398	58.925	54.967	104.48	900.34	0.22496	85.233	0.55012	0.013982	2.6339	0.37967	46.140	49.477	102.56	53.873	114.24	479.60	10.681	19.667	0.071905
575.42	8.8666	39.267	0.025466	24.235	24.461	59.032	54.956	104.82	896.90	0.22919	84.998	0.54917	0.013840	2.6613	0.37576	46.123	49.454	102.47	54.008	115.09	479.16	10.628	19.700	0.072294
576.05	8.9441	39.195	0.025514	24.297	24.525	59.139	54.944	105.17	893.44	0.23349	84.764	0.54820	0.013697	2.6890	0.37189	46.105	49.432	102.38	54.143	115.95	478.72	10.576	19.734	0.072688
576.67	9.0221	39.122	0.025561	24.358	24.589	59.246	54.933	105.53	889.98	0.23784	84.529	0.54724	0.013556	2.7170	0.36806	46.088	49.408	102.29	54.279	116.83	478.27	10.524	19.767	0.073087
577.29	9.1007	39.048	0.025609	24.419	24.652	59.353	54.923	105.89	886.50	0.24226	84.295	0.54626	0.013414	2.7453	0.36426	46.070	49.385	102.19	54.415	117.72	477.82	10.472	19.802	0.073492
577.92	9.1798	38.974	0.025658	24.481	24.717	59.461	54.912	106.26	883.00	0.24674	84.060	0.54529	0.013272	2.7739	0.36050	46.051	49.361	102.10	54.553	118.63	477.37	10.420	19.836	0.073902
578.54	9.2595	38.900	0.025707	24.543	24.781	59.568	54.903	106.63	879.50	0.25129	83.826	0.54431	0.013130	2.8029	0.35677	46.033	49.336	102.01	54.691	119.55	476.90	10.368	19.870	0.074318
579.16	9.3396	38.826	0.025756	24.605	24.845	59.676	54.893	107.01	875.97	0.25591	83.592	0.54332	0.012989	2.8322	0.35309	46.014	49.311	101.92	54.829	120.49	476.44	10.317	19.905	0.074740
579.79	9.4203	38.750	0.025806	24.667	24.910	59.784	54.884	107.40	872.44	0.26059	83.358	0.54233	0.012848	2.8618	0.34943	45.995	49.286	101.83	54.969	121.45	475.97	10.266	19.940	0.075167
580.41	9.5016	38.675	0.025856	24.729	24.974	59.892	54.876	107.80	868.89	0.26534	83.123	0.54134	0.012707	2.8917	0.34581	45.975	49.261	101.74	55.109	122.42	475.49	10.215	19.976	0.075602
581.03	9.5833	38.599	0.025907	24.791	25.039	60.000	54.868	108.20	865.33	0.27017	82.889	0.54034	0.012566	2.9220	0.34223	45.955	49.235	101.64	55.250	123.41	475.00	10.164	20.012	0.076042
581.66	9.6657	38.523	0.025959	24.854	25.105	60.108	54.860	108.61	861.76	0.27507	82.655	0.53934	0.012425	2.9527	0.33868	45.935	49.209	101.55	55.391	124.42	474.52	10.113	20.048	0.076489
582.28	9.7485	38.446	0.026011	24.916	25.170	60.217	54.853	109.02	858.17	0.28004	82.421	0.53834	0.012285	2.9837	0.33516	45.915	49.182	101.46	55.534	125.45	474.02	10.063	20.084	0.076943
582.90	9.8319	38.369	0.026063	24.979	25.235	60.326	54.846	109.45	854.56	0.28509	82.186	0.53732	0.012144	3.0150	0.33167	45.894	49.155	101.36	55.677	126.50	473.52	10.012	20.120	0.077403
583.53	9.9159	38.291	0.026116	25.042	25.301	60.434	54.840	109.88	850.94	0.29022	81.952	0.53631	0.012004	3.0467	0.32822	45.873	49.128	101.27	55.820	127.56	473.02	9.9622	20.157	0.077871
584.15	10.000	38.213	0.026169	25.105	25.367	60.543	54.835	110.32	847.31	0.29543	81.717	0.53529	0.011864	3.0788	0.32480	45.852	49.100	101.17	55.965	128.65	472.50	9.9122	20.195	0.078346
584.77	10.085	38.134	0.026223	25.169	25.433	60.653	54.829	110.77	843.67	0.30071	81.483	0.53426	0.011724	3.1113	0.32141	45.831	49.072	101.08	56.110	129.76	471.99	9.8623	20.232	0.078828
585.40	10.171	38.055	0.026278	25.232	25.499	60.762	54.825	111.23	840.00	0.30609	81.248	0.53323	0.011584	3.1441	0.31805	45.809	49.044	100.98	56.256	130.88	471.46	9.8126	20.270	0.079318
586.02	10.257	37.976	0.026333	25.296	25.566	60.872	54.821	111.70	836.33	0.31155	81.013	0.53220	0.011445	3.1774	0.31472	45.786	49.015	100.89	56.403	132.03	470.93	9.7630	20.308	0.079816
586.64	10.344	37.896	0.026388	25.360	25.633	60.982	54.817	112.17	832.64	0.31709	80.778	0.53116	0.011306	3.2110	0.31143	45.764	48.985	100.79	56.551	133.21	470.40	9.7136	20.347	0.080323
587.27	10.431	37.815	0.026444	25.424	25.699	61.092	54.814	112.66	828.93	0.32273	80.543	0.53012	0.011167	3.2451	0.30816	45.741	48.955	100.69	56.700	134.40	469.86	9.6644	20.386	0.080837
587.89	10.519	37.734	0.026501	25.488	25.767	61.202	54.812	113.15	825.21	0.32846	80.307	0.52907	0.011028	3.2796	0.30492	45.718	48.925	100.59	56.849	135.62	469.31	9.6153	20.425	0.081360
588.51	10.608	37.653	0.026558	25.552	25.834	61.313	54.810	113.66	821.47	0.33428	80.072	0.52802	0.010889	3.3144	0.30171	45.694	48.895	100.50	56.999	136.87	468.76	9.5663	20.465	0.081892
589.14	10.697	37.571	0.026616	25.617	25.902	61.423	54.809	114.18	817.72	0.34020	79.836	0.52696	0.010751	3.3497	0.29853	45.670	48.863	100.40	57.150	138.14	468.20	9.5174	20.505	0.082433
589.76	10.786	37.488	0.026675	25.682	25.969	61.534	54.808	114.70	813.95	0.34621	79.600	0.52589	0.010612	3.3855	0.29538	45.646	48.832	100.30	57.302	139.43	467.63	9.4687	20.545	0.082984
590.38	10.877	37.405	0.026734	25.747	26.037	61.646	54.808	115.24	810.16	0.35233	79.364	0.52483	0.010474	3.4217	0.29225	45.621	48.800	100.20	57.455	140.76	467.06	9.4201	20.586	0.083544
591.01	10.967	37.321	0.026794	25.812	26.106	61.757	54.809	115.79	806.36	0.35855	79.127	0.52375	0.010337	3.4583	0.28916	45.596	48.767	100.10	57.609	142.11	466.48	9.3717	20.628	0.084114
591.63	11.059	37.237	0.026855	25.877	26.174	61.869	54.810	116.35	802.55	0.36488	78.890	0.52267	0.010199	3.4954	0.28609	45.571	48.734	100.00	57.764	143.49	465.89	9.3233	20.669	0.084695
592.25	11.151	37.152	0.026916	25.943	26.243	61.981	54.812	116.92	798.71	0.37132	78.653	0.52159	0.010062	3.5330	0.28305	45.545	48.701	99.900	57.919	144.90	465.30	9.2751	20.711	0.085286
592.88	11.243	37.067	0.026978	26.009	26.312	62.093	54.815	117.51	794.86	0.37787	78.415	0.52050	0.0099247	3.5711	0.28003	45.518	48.667	99.799	58.076	146.34	464.70	9.2270	20.754	0.085887
593.50	11.336	36.981	0.027041	26.075	26.381	62.205	54.818	118.11	790.99	0.38453	78.177	0.51941	0.0097879	3.6096	0.27704	45.492	48.632	99.697	58.233	147.81	464.09	9.1790	20.797	0.086501
594.12	11.430	36.895	0.027104	26.141	26.451	62.318	54.822	118.72	787.11	0.39131	77.939	0.51831	0.0096512	3.6486	0.27408	45.465	48.598	99.595	58.392	149.32	463.48	9.1311	20.841	0.087125
594.74	11.525	36.808	0.027168	26.207	26.520	62.431	54.827	119.35	783.21	0.39822	77.700	0.51721	0.0095149	3.6882	0.27114	45.437	48.562	99.492	58.552	150.86	462.86	9.0833	20.885	0.087762
595.37	11.620	36.720	0.027233	26.274	26.590	62.544	54.833	119.99	779.29	0.40524	77.461	0.51610	0.0093788	3.7282	0.26822	45.409	48.526	99.388	58.712	152.44	462.23	9.0356	20.929	0.088411
595.99	11.715	36.632	0.027299	26.341	26.661	62.658	54.839	120.65	775.35	0.41240	77.221	0.51498	0.0092429	3.7688	0.26533	45.381	48.490	99.284	58.874	154.05	461.59	8.9880	20.974	0.089073
596.61	11.811	36.543	0.027365	26.408	26.731	62.772	54.847	121.32	771.39	0.41968	76.981	0.51386	0.0091073	3.8100	0.26247	45.352	48.453	99.180	59.036	155.70	460.95	8.9405	21.020	0.089748
597.24	11.908	36.453	0.027433	26.475	26.802	62.886	54.855	122.00	767.41	0.42710	76.741	0.51273	0.0089720	3.8517	0.25963	45.323	48.415	99.074	59.200	157.39	460.30	8.8930	21.066	0.090436
597.86	12.006	36.363	0.027501	26.543	26.873	63.001	54.864	122.71	763.42	0.43466	76.499	0.51160	0.0088370	3.8939	0.25681	45.294	48.377	98.968	59.365	159.12	459.64	8.8457	21.112	0.091139
598.48	12.104	36.272	0.027570	26.611	26.945	63.116	54.874	123.43	759.41	0.44236	76.258	0.51046	0.0087022	3.9367	0.25402	45.264	48.338	98.862	59.531	160.90	458.98	8.7984	21.159	0.091856
599.11	12.202	36.180	0.027639	26.679	27.016	63.231	54.884	124.17	755.37	0.45021	76.015	0.50932	0.0085677	3.9801	0.25125	45.233	48.299	98.755	59.698	162.71	458.30	8.7512	21.207	0.092588
599.73	12.302	36.088	0.027710	26.747	27.088	63.346	54.896	124.93	751.32	0.45821	75.773	0.50817	0.0084335	4.0242	0.24850	45.202	48.259	98.647	59.866	164.58	457.62	8.7041	21.255	0.093336
600.35	12.402	35.995	0.027782	26.816	27.161	63.462	54.909	125.71	747.25	0.46637	75.529	0.50702	0.0082996	4.0688	0.24577	45.170	48.218	98.538	60.035	166.49	456.93	8.6570	21.304	0.094100
600.98	12.502	35.901	0.027854	26.885	27.233	63.578	54.923	126.51	743.16	0.47468	75.285	0.50586	0.0081660	4.1140	0.24307	45.138	48.177	98.429	60.206	168.45	456.24	8.6100	21.354	0.094880
601.60	12.604	35.807	0.027928	26.954	27.306	63.695	54.937	127.33	739.04	0.48316	75.040	0.50469	0.0080327	4.1599	0.24039	45.106	48.136	98.319	60.378	170.46	455.53	8.5630	21.404	0.095678
602.22	12.705	35.711	0.028002	27.024	27.379	63.812	54.953	128.17	734.91	0.49181	74.794	0.50352	0.0078997	4.2065	0.23773	45.073	48.093	98.208	60.551	172.52	454.81	8.5161	21.455	0.096493
602.85	12.808	35.615	0.028078	27.093	27.453	63.929	54.970	129.03	730.75	0.50064	74.548	0.50234	0.0077670	4.2537	0.23509	45.039	48.050	98.096	60.725	174.64	454.09	8.4692	21.506	0.097327
603.47	12.911	35.519	0.028154	27.163	27.527	64.047	54.988	129.92	726.57	0.50965	74.301	0.50115	0.0076347	4.3017	0.23247	45.005	48.007	97.984	60.901	176.82	453.36	8.4224	21.558	0.098180
604.09	13.015	35.421	0.028232	27.234	27.601	64.165	55.007	130.84	722.36	0.51884	74.053	0.49996	0.0075026	4.3503	0.22987	44.971	47.962	97.871	61.078	179.06	452.62	8.3756	21.611	0.099053
604.72	13.119	35.322	0.028311	27.304	27.676	64.284	55.028	131.78	718.14	0.52823	73.804	0.49877	0.0073709	4.3996	0.22729	44.936	47.917	97.757	61.257	181.36	451.87	8.3289	21.665	0.099947
605.34	13.225	35.223	0.028390	27.375	27.751	64.403	55.050	132.75	713.89	0.53782	73.554	0.49756	0.0072396	4.4497	0.22473	44.900	47.872	97.642	61.437	183.73	451.11	8.2821	21.719	0.10086
605.96	13.331	35.123	0.028471	27.447	27.826	64.523	55.073	133.74	709.61	0.54761	73.304	0.49635	0.0071086	4.5006	0.22219	44.863	47.825	97.526	61.618	186.17	450.34	8.2354	21.775	0.10180
606.59	13.437	35.022	0.028554	27.518	27.902	64.643	55.097	134.77	705.31	0.55762	73.052	0.49514	0.0069780	4.5522	0.21967	44.826	47.778	97.410	61.801	188.68	449.56	8.1887	21.831	0.10276
607.21	13.544	34.920	0.028637	27.590	27.978	64.763	55.123	135.83	700.98	0.56785	72.799	0.49391	0.0068477	4.6046	0.21717	44.789	47.730	97.292	61.985	191.26	448.77	8.1420	21.888	0.10374
607.83	13.652	34.817	0.028722	27.663	28.055	64.884	55.150	136.92	696.63	0.57831	72.546	0.49269	0.0067178	4.6579	0.21469	44.751	47.682	97.174	62.171	193.92	447.97	8.0953	21.945	0.10475
608.46	13.761	34.713	0.028808	27.735	28.132	65.005	55.179	138.05	692.25	0.58901	72.291	0.49145	0.0065882	4.7120	0.21223	44.712	47.632	97.055	62.359	196.67	447.16	8.0486	22.004	0.10578
609.08	13.870	34.608	0.028895	27.808	28.209	65.127	55.210	139.21	687.84	0.59996	72.035	0.49021	0.0064591	4.7669	0.20978	44.673	47.582	96.934	62.548	199.50	446.34	8.0019	22.063	0.10685
609.70	13.980	34.502	0.028984	27.882	28.287	65.250	55.242	140.41	683.40	0.61116	71.778	0.48896	0.0063303	4.8227	0.20735	44.632	47.531	96.813	62.739	202.42	445.51	7.9552	22.124	0.10794
610.33	14.090	34.395	0.029074	27.956	28.365	65.373	55.276	141.66	678.93	0.62263	71.519	0.48770	0.0062019	4.8795	0.20494	44.592	47.479	96.691	62.931	205.43	444.67	7.9084	22.185	0.10905
610.95	14.202	34.287	0.029165	28.030	28.444	65.497	55.311	142.94	674.43	0.63437	71.260	0.48644	0.0060740	4.9372	0.20254	44.550	47.427	96.567	63.126	208.55	443.82	7.8617	22.248	0.11020
611.57	14.314	34.178	0.029258	28.104	28.523	65.621	55.349	144.28	669.89	0.64641	70.999	0.48517	0.0059465	4.9959	0.20017	44.508	47.373	96.443	63.322	211.77	442.96	7.8149	22.311	0.11138
612.20	14.427	34.068	0.029353	28.179	28.603	65.746	55.388	145.66	665.33	0.65874	70.736	0.48390	0.0058194	5.0555	0.19780	44.465	47.318	96.317	63.521	215.10	442.08	7.7680	22.376	0.11259
612.82	14.540	33.957	0.029449	28.255	28.683	65.871	55.430	147.09	660.73	0.67138	70.472	0.48262	0.0056927	5.1162	0.19546	44.421	47.263	96.190	63.721	218.55	441.19	7.7211	22.442	0.11384
613.44	14.654	33.844	0.029547	28.331	28.764	65.997	55.474	148.57	656.09	0.68435	70.207	0.48133	0.0055664	5.1779	0.19313	44.377	47.207	96.062	63.923	222.12	440.29	7.6742	22.508	0.11513
614.06	14.769	33.731	0.029647	28.407	28.845	66.124	55.520	150.11	651.42	0.69767	69.939	0.48003	0.0054407	5.2408	0.19081	44.331	47.149	95.933	64.127	225.82	439.38	7.6271	22.577	0.11645
614.69	14.885	33.616	0.029748	28.484	28.927	66.251	55.568	151.72	646.70	0.71133	69.671	0.47873	0.0053153	5.3047	0.18851	44.285	47.091	95.802	64.334	229.65	438.46	7.5800	22.646	0.11781
615.31	15.001	33.499	0.029851	28.561	29.009	66.380	55.619	153.38	641.95	0.72536	69.400	0.47743	0.0051905	5.3698	0.18623	44.238	47.032	95.670	64.543	233.63	437.52	7.5328	22.716	0.11921
615.93	15.118	33.382	0.029957	28.639	29.092	66.509	55.673	155.12	637.16	0.73979	69.127	0.47611	0.0050661	5.4361	0.18395	44.190	46.971	95.537	64.754	237.77	436.56	7.4856	22.788	0.12065
616.56	15.236	33.262	0.030064	28.717	29.175	66.638	55.729	156.93	632.32	0.75461	68.853	0.47479	0.0049423	5.5037	0.18170	44.142	46.910	95.402	64.968	242.07	435.60	7.4382	22.862	0.12214
617.18	15.355	33.142	0.030173	28.796	29.260	66.769	55.789	158.82	627.43	0.76986	68.576	0.47346	0.0048189	5.5725	0.17945	44.092	46.847	95.266	65.184	246.54	434.62	7.3907	22.937	0.12367
617.80	15.474	33.020	0.030285	28.876	29.344	66.900	55.851	160.80	622.50	0.78556	68.298	0.47213	0.0046961	5.6426	0.17722	44.041	46.784	95.128	65.403	251.19	433.62	7.3431	23.013	0.12526
618.43	15.594	32.896	0.030399	28.956	29.430	67.033	55.917	162.86	617.52	0.80172	68.017	0.47079	0.0045737	5.7141	0.17501	43.990	46.719	94.989	65.625	256.04	432.61	7.2954	23.091	0.12689
619.05	15.715	32.771	0.030515	29.036	29.516	67.166	55.987	165.02	612.49	0.81837	67.734	0.46944	0.0044520	5.7870	0.17280	43.937	46.653	94.848	65.849	261.10	431.58	7.2475	23.170	0.12858
619.67	15.837	32.644	0.030634	29.118	29.603	67.300	56.060	167.29	607.41	0.83554	67.448	0.46809	0.0043307	5.8614	0.17061	43.884	46.585	94.706	66.077	266.38	430.54	7.1995	23.251	0.13033
620.30	15.959	32.515	0.030755	29.199	29.690	67.435	56.137	169.67	602.27	0.85324	67.160	0.46674	0.0042101	5.9373	0.16843	43.829	46.517	94.562	66.308	271.90	429.48	7.1513	23.334	0.13214
620.92	16.082	32.384	0.030879	29.282	29.779	67.571	56.219	172.16	597.07	0.87151	66.869	0.46538	0.0040900	6.0149	0.16626	43.773	46.447	94.416	66.542	277.67	428.40	7.1029	23.419	0.13401
621.54	16.206	32.252	0.031006	29.365	29.868	67.709	56.305	174.79	591.82	0.89037	66.575	0.46401	0.0039705	6.0940	0.16410	43.716	46.375	94.268	66.779	283.72	427.31	7.0543	23.506	0.13594
622.17	16.331	32.118	0.031136	29.449	29.958	67.847	56.395	177.56	586.50	0.90987	66.278	0.46264	0.0038516	6.1749	0.16195	43.658	46.303	94.118	67.020	290.06	426.19	7.0055	23.595	0.13795
622.79	16.457	31.981	0.031269	29.534	30.049	67.987	56.492	180.48	581.11	0.93003	65.977	0.46127	0.0037334	6.2575	0.15981	43.598	46.228	93.966	67.265	296.71	425.06	6.9565	23.686	0.14003
623.41	16.583	31.842	0.031405	29.620	30.140	68.128	56.593	183.57	575.66	0.95088	65.674	0.45989	0.0036158	6.3420	0.15768	43.538	46.152	93.812	67.514	303.71	423.90	6.9073	23.779	0.14219
624.04	16.710	31.701	0.031545	29.706	30.233	68.270	56.701	186.83	570.14	0.97247	65.367	0.45851	0.0034988	6.4285	0.15556	43.475	46.075	93.656	67.767	311.08	422.73	6.8578	23.874	0.14444
624.66	16.838	31.558	0.031688	29.793	30.327	68.414	56.815	190.29	564.54	0.99483	65.056	0.45713	0.0033825	6.5169	0.15345	43.412	45.996	93.498	68.025	318.84	421.53	6.8080	23.972	0.14677
625.28	16.967	31.412	0.031835	29.882	30.422	68.559	56.936	193.97	558.87	1.0180	64.741	0.45575	0.0032670	6.6075	0.15134	43.347	45.915	93.337	68.287	327.05	420.31	6.7580	24.073	0.14920
625.91	17.097	31.263	0.031987	29.971	30.518	68.706	57.065	197.87	553.12	1.0421	64.422	0.45438	0.0031521	6.7003	0.14925	43.281	45.832	93.174	68.555	335.72	419.07	6.7076	24.176	0.15172
626.53	17.227	31.112	0.032142	30.061	30.615	68.854	57.202	202.03	547.28	1.0670	64.098	0.45300	0.0030380	6.7955	0.14716	43.213	45.748	93.008	68.828	344.91	417.80	6.6569	24.282	0.15436
627.15	17.358	30.957	0.032302	30.152	30.713	69.004	57.348	206.46	541.37	1.0929	63.770	0.45163	0.0029246	6.8931	0.14507	43.143	45.661	92.839	69.107	354.67	416.50	6.6058	24.391	0.15711
627.78	17.490	30.800	0.032468	30.245	30.813	69.156	57.504	211.20	535.36	1.1198	63.436	0.45026	0.0028120	6.9932	0.14300	43.071	45.572	92.667	69.391	365.05	415.18	6.5543	24.503	0.15998
628.40	17.623	30.639	0.032638	30.339	30.914	69.310	57.670	216.27	529.27	1.1478	63.098	0.44890	0.0027002	7.0961	0.14092	42.998	45.482	92.493	69.683	376.11	413.83	6.5024	24.619	0.16298
629.02	17.757	30.475	0.032814	30.433	31.016	69.466	57.847	221.71	523.08	1.1770	62.754	0.44756	0.0025892	7.2018	0.13885	42.923	45.389	92.315	69.981	387.93	412.44	6.4501	24.738	0.16612
629.65	17.892	30.307	0.032995	30.530	31.120	69.624	58.038	227.56	516.80	1.2073	62.403	0.44622	0.0024791	7.3105	0.13679	42.846	45.293	92.134	70.287	400.58	411.03	6.3972	24.861	0.16941
630.27	18.028	30.136	0.033183	30.627	31.226	69.785	58.241	233.85	510.43	1.2388	62.047	0.44491	0.0023698	7.4224	0.13473	42.766	45.195	91.949	70.601	414.17	409.58	6.3438	24.988	0.17287
630.89	18.164	29.960	0.033378	30.726	31.333	69.947	58.460	240.64	503.96	1.2717	61.684	0.44361	0.0022615	7.5377	0.13267	42.685	45.095	91.761	70.924	428.81	408.10	6.2899	25.120	0.17651
631.52	18.301	29.780	0.033579	30.827	31.442	70.113	58.695	247.97	497.40	1.3060	61.314	0.44234	0.0021541	7.6567	0.13061	42.601	44.991	91.568	71.257	444.61	406.57	6.2353	25.256	0.18034
632.14	18.440	29.596	0.033789	30.930	31.553	70.281	58.948	255.92	490.74	1.3417	60.936	0.44110	0.0020477	7.7794	0.12854	42.514	44.885	91.371	71.600	461.74	405.01	6.1801	25.397	0.18438
632.76	18.579	29.406	0.034006	31.034	31.665	70.452	59.220	264.55	483.99	1.3790	60.551	0.43989	0.0019423	7.9063	0.12648	42.425	44.775	91.169	71.955	480.37	403.39	6.1241	25.543	0.18865
633.39	18.719	29.212	0.034233	31.140	31.780	70.626	59.514	273.95	477.15	1.4178	60.157	0.43873	0.0018380	8.0376	0.12441	42.333	44.662	90.963	72.323	500.72	401.74	6.0674	25.696	0.19318
634.01	18.860	29.012	0.034469	31.248	31.898	70.803	59.831	284.20	470.22	1.4584	59.754	0.43762	0.0017347	8.1737	0.12234	42.237	44.545	90.751	72.705	523.03	400.03	6.0097	25.854	0.19799
634.63	19.002	28.806	0.034715	31.358	32.018	70.984	60.173	295.42	463.21	1.5006	59.342	0.43656	0.0016326	8.3149	0.12027	42.139	44.424	90.534	73.102	547.61	398.26	5.9511	26.020	0.20311
635.25	19.145	28.594	0.034972	31.470	32.140	71.169	60.542	307.75	456.13	1.5448	58.920	0.43558	0.0015317	8.4617	0.11818	42.037	44.299	90.310	73.517	574.84	396.43	5.8914	26.192	0.20857
635.88	19.289	28.376	0.035241	31.585	32.265	71.358	60.942	321.36	448.99	1.5908	58.487	0.43468	0.0014320	8.6146	0.11608	41.930	44.169	90.080	73.952	605.17	394.54	5.8305	26.374	0.21443
636.50	19.433	28.151	0.035523	31.703	32.393	71.551	61.373	336.44	441.79	1.6388	58.044	0.43388	0.0013336	8.7741	0.11397	41.820	44.035	89.842	74.409	639.19	392.57	5.7684	26.564	0.22073
637.12	19.579	27.918	0.035819	31.823	32.524	71.749	61.839	353.25	434.54	1.6890	57.589	0.43319	0.0012366	8.9409	0.11184	41.705	43.895	89.596	74.891	677.61	390.52	5.7047	26.764	0.22754
637.75	19.726	27.678	0.036130	31.946	32.659	71.952	62.342	372.16	427.26	1.7415	57.121	0.43265	0.0011410	9.1159	0.10970	41.584	43.748	89.340	75.402	721.36	388.37	5.6394	26.975	0.23493
638.37	19.874	27.428	0.036459	32.073	32.797	72.160	62.885	393.62	419.95	1.7964	56.639	0.43228	0.0010469	9.3000	0.10753	41.458	43.595	89.075	75.947	771.66	386.13	5.5722	27.200	0.24298
638.99	20.023	27.170	0.036806	32.203	32.940	72.375	63.472	418.29	412.60	1.8542	56.143	0.43213	0.00095443	9.4943	0.10533	41.325	43.434	88.798	76.531	830.09	383.76	5.5028	27.439	0.25183
639.62	20.173	26.900	0.037175	32.337	33.087	72.597	64.106	447.08	405.22	1.9150	55.631	0.43226	0.00086367	9.7002	0.10309	41.185	43.265	88.509	77.162	898.81	381.26	5.4310	27.694	0.26162
640.24	20.324	26.619	0.037568	32.476	33.240	72.827	64.793	481.33	397.77	1.9796	55.100	0.43276	0.00077472	9.9194	0.10081	41.036	43.085	88.204	77.848	980.81	378.59	5.3562	27.969	0.27255
640.86	20.476	26.323	0.037990	32.621	33.399	73.066	65.542	523.01	390.22	2.0486	54.548	0.43375	0.00068773	10.154	0.098482	40.878	42.894	87.883	78.602	1080.3	375.74	5.2782	28.267	0.28486
641.49	20.629	26.011	0.038446	32.772	33.565	73.316	66.366	575.16	382.48	2.1230	53.971	0.43540	0.00060285	10.407	0.096088	40.708	42.690	87.541	79.438	1203.5	372.65	5.1961	28.594	0.29892
642.11	20.783	25.677	0.038945	32.931	33.740	73.580	67.289	642.59	374.45	2.2043	53.364	0.43797	0.00052027	10.682	0.093615	40.524	42.470	87.175	80.379	1359.9	369.29	5.1092	28.954	0.31521
642.73	20.939	25.317	0.039499	33.101	33.928	73.862	68.347	733.29	365.94	2.2945	52.719	0.44184	0.00044020	10.984	0.091043	40.324	42.230	86.780	81.452	1564.6	365.57	5.0166	29.358	0.33445
643.36	21.096	24.922	0.040124	33.284	34.130	74.168	69.605	861.36	356.71	2.3962	52.027	0.44758	0.00036294	11.319	0.088345	40.103	41.966	86.348	82.702	1843.0	361.38	4.9167	29.819	0.35771
643.98	21.254	24.480	0.040850	33.486	34.354	74.505	71.179	1053.5	346.36	2.5134	51.273	0.45614	0.00028883	11.699	0.085480	39.855	41.672	85.869	84.192	2241.7	356.58	4.8078	30.357	0.38677
644.60	21.413	23.969	0.041721	33.713	34.607	74.887	73.283	1365.7	334.35	2.6517	50.437	0.46919	0.00021836	12.137	0.082391	39.572	41.336	85.326	86.026	2854.6	350.89	4.6872	31.006	0.42469
